Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,769333050986.91,605961090061.21,73820425701.66,2593053091306.13,614170002668.80,1177369428265.78,140919776986.36,267052836695.50,7639749000000.00,171735933897.33
YR1996,850426432991.74,630607994132.75,78584098983.64,2506576553158.31,642251412058.32,1314776508972.27,185730236700.00,291952430659.11,8073122000000.00,163234925380.56
YR1997,883206179730.46,654986999855.55,85741415285.16,2218790886532.82,589739772727.27,1244988176443.84,200850397618.18,268251974485.59,8577552000000.00,168978057327.73
YR1998,863710759256.44,634000000000.00,81990010704.06,2247760364565.97,618731484575.12,1272729786996.77,218416200672.73,270889570938.00,9062817000000.00,152982984557.23
YR1999,599642024319.53,678412196271.12,75578685735.52,2213873468586.88,634394904386.87,1255004736463.98,59145077039.14,274320415375.68,9631172000000.00,151516957078.54
YR2000,655448231983.53,744773415931.59,78339750721.36,1966980701145.10,598102854756.08,1149661363439.38,69171451627.25,262905197441.66,10250952000000.00,151752757215.31
YR2001,559983634798.98,738981792355.37,71574739561.43,1966381496641.73,627798682378.74,1172041488805.87,73557840064.49,242499249692.62,10581929000000.00,135429905922.53
YR2002,509795273806.72,760649334098.01,70264045939.28,2102350798305.89,708938227243.92,1281746271196.04,95054059302.70,267373345246.53,10929108000000.00,129087556612.45
YR2003,558233745651.87,895540646634.79,76492579644.06,2534715518349.01,907963217057.65,1582930016538.82,104738954264.23,334074051172.97,11456450000000.00,197018965308.70
YR2004,669289424806.31,1026690238278.25,99075985773.67,2852317768061.78,1069829382514.67,1812808753294.75,135764731645.61,384547211147.25,12217196000000.00,255806908594.57
YR2005,891633839894.18,1173108598778.68,122294145163.19,2893393187361.87,1154667551775.88,1864982261286.85,175670569969.35,391690329314.47,13039197000000.00,288867217196.53
YR2006,1107626541434.92,1319264809590.97,153843518170.86,3046308753670.58,1261846683275.29,1958563654385.64,238454997161.48,422530427475.54,13815583000000.00,303858675363.64
YR2007,1397114486368.67,1468820407783.26,172491076033.86,3484056680854.91,1476746276854.51,2222524108127.65,278260846800.10,490050156832.57,14474228000000.00,333077117253.68
YR2008,1695855083497.52,1552989690721.65,179894594475.40,3808786022312.50,1636115447612.50,2417508414187.19,339476276257.79,514616528348.83,14769862000000.00,316131258616.31
YR2009,1666996438581.43,1374625142157.29,171777900623.89,3479800820863.28,1496587590847.66,2209484319012.65,295008835381.00,434313804907.37,14478067000000.00,329754060647.13
YR2010,2208837745100.55,1617343367486.26,217051209238.53,3468154343000.01,1427989078916.67,2144936254535.00,366990417129.04,492753255885.72,15048971000000.00,417363822801.71
YR2011,2616156223917.69,1793326630174.52,251382573893.87,3824828563521.41,1487568659241.25,2306974020278.21,414466676831.16,570541353128.72,15599732000000.00,458199494830.83
YR2012,2465227802806.76,1828366481521.60,267024782486.86,3597896500945.31,1330994811670.31,2097929495121.68,463971018239.28,549742183874.35,16253970000000.00,434400545085.81
YR2013,2472819535557.21,1846597421834.98,277395018842.42,3808086291482.36,1362186923157.65,2153225581941.46,520117180313.91,584128116410.29,16880683000000.00,400886013595.57
YR2014,2456043727198.85,1805749878439.94,259560978224.36,3965800686309.79,1380244561361.96,2173255507985.84,574183763411.51,577730245154.16,17608138000000.00,381198869776.11
YR2015,1802212206814.50,1556508816217.14,242450355830.88,3423568450957.03,1206164777553.12,1845428048839.10,493026682800.63,501698263620.66,18295019000000.00,346709790458.56
YR2016,1795693482853.01,1527994741907.43,249344863928.44,3537784107980.55,1243015667917.12,1887111188176.93,404649125252.16,514218206628.33,18804913000000.00,323585509674.48
YR2017,2063514977365.65,1649265644244.09,276154259981.10,3763092263752.95,1321754088818.83,1970720904584.71,375745731053.43,536083940228.68,19612102000000.00,381448814653.46
YR2018,1916933898010.99,1725329192783.02,295857562991.71,4052008447223.53,1431642809327.06,2099435266458.67,421739251509.08,551312498430.16,20656516000000.00,405260723892.52
YR2019,1873288205059.69,1743725183672.52,278285058719.47,3957208055215.68,1403496387686.27,2019606796583.53,474517490844.46,532169294165.94,21539982000000.00,389330032224.27
YR2020,1476107231310.49,1655684730000.19,254042159309.31,3940142541354.10,1289783836971.21,1907481094079.23,432198898467.79,545147614972.14,21354105000000.00,337974655408.05
YR2021,1670647398904.90,2022378748423.23,315325547162.07,4348297440387.53,1461244901852.69,2179207773596.09,440833635873.83,637186904843.64,23681171000000.00,420886877628.70
YR2022,1951923942083.32,2190411080134.32,301226575540.24,4163596357879.39,1446498147749.03,2104067630319.46,477403400101.17,579895717343.96,26006893000000.00,406920004594.07
YR2023,2191131765684.63,2173339670064.33,335518054097.64,4525703903627.53,1620090734956.89,2304605139862.79,363846332834.62,585489968189.06,27720709000000.00,380699271816.40
YR2024,2179412080828.59,2241253230970.34,330267137371.59,4659929336890.62,1722745978335.16,2372774547793.12,187759703099.80,610117791237.09,29184890000000.00,400260724226.07
