Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,47.7,6.9,13.1,6.5,6.9,7.5,203.8,4.8,9.5,59.5
YR1996,44.7,6.7,12.6,6.2,6.5,7.0,201.1,4.6,9.2,61.1
YR1997,41.9,6.5,12.2,5.9,6.1,6.6,197.4,4.4,8.9,62.9
YR1998,39.3,6.4,11.9,5.7,5.8,6.2,192.9,4.2,8.7,65.6
YR1999,36.8,6.3,11.5,5.5,5.6,5.9,187.8,4.1,8.6,68.5
YR2000,34.5,6.2,10.9,5.4,5.4,5.6,182.3,4.1,8.4,71.1
YR2001,32.2,6.2,10.3,5.2,5.3,5.3,176.8,4.0,8.3,74.3
YR2002,30.1,6.2,9.8,5.1,5.1,5.1,171.1,4.0,8.2,76.9
YR2003,28.1,6.2,9.5,5.0,5.0,4.8,165.4,3.9,8.1,79.3
YR2004,26.3,6.1,9.3,4.8,4.9,4.6,159.8,3.7,8.1,81.0
YR2005,24.6,6.1,9.1,4.7,4.7,4.5,154.5,3.6,8.0,80.3
YR2006,23.1,6.0,9.0,4.6,4.5,4.3,149.6,3.5,7.9,77.5
YR2007,21.7,6.0,8.9,4.5,4.4,4.2,145.2,3.3,7.7,71.9
YR2008,20.5,5.9,8.9,4.4,4.2,4.1,141.3,3.2,7.6,64.2
YR2009,19.5,5.8,8.8,4.3,4.0,4.1,138.0,3.1,7.5,57.0
YR2010,18.6,5.7,8.7,4.2,3.8,4.0,135.1,3.1,7.3,50.0
YR2011,17.9,5.6,8.6,4.1,3.7,3.9,132.9,3.0,7.2,45.0
YR2012,17.2,5.6,8.4,4.0,3.6,3.8,130.9,3.0,7.0,42.5
YR2013,16.7,5.5,8.2,4.0,3.5,3.7,129.3,2.9,6.9,41.0
YR2014,16.3,5.4,8.1,4.0,3.4,3.6,127.9,2.9,6.8,39.6
YR2015,16.0,5.4,7.9,3.9,3.3,3.5,126.4,2.9,6.8,38.2
YR2016,16.8,5.3,7.7,3.9,3.3,3.4,124.8,2.8,6.7,36.8
YR2017,15.4,5.2,7.5,3.8,3.2,3.3,122.8,2.8,6.6,35.8
YR2018,15.2,5.2,7.2,3.8,3.2,3.2,120.2,2.7,6.5,34.9
YR2019,15.0,5.1,7.0,3.7,3.2,3.1,117.5,2.6,6.5,34.5
YR2020,14.9,5.1,6.8,3.7,3.2,3.0,114.4,2.6,6.5,34.1
YR2021,14.7,5.1,6.7,3.7,3.1,2.9,111.3,2.5,6.5,34.1
YR2022,14.6,5.1,6.8,3.7,3.1,2.8,108.1,2.5,6.5,34.4
YR2023,14.4,5.1,7.2,3.7,3.1,2.8,104.9,2.5,6.5,34.7
