Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,4756.75,20679.63,5081.47,31747.24,15460.91,20712.18,1271.62,30254.30,28690.88,3855.63
YR1996,5179.13,21296.97,5333.50,30599.79,16100.62,23122.93,1632.72,33022.56,29967.71,3617.55
YR1997,5299.40,21901.56,5741.96,27046.96,14722.37,21883.99,1720.28,30324.45,31459.13,3700.24
YR1998,5105.89,21024.59,5419.82,27395.94,15382.33,22365.18,1822.47,30605.62,32853.67,3309.61
YR1999,3493.57,22315.25,4933.56,26965.49,15707.95,22050.00,480.67,30969.10,34515.38,3242.37
YR2000,3766.55,24271.00,5052.99,23925.86,14743.27,20190.00,547.32,29632.77,36329.97,3217.85
YR2001,3176.29,23822.10,4563.60,23878.36,15368.23,20570.44,566.43,27259.48,37133.62,2847.15
YR2002,2855.94,24256.02,4430.85,25486.59,17111.07,22451.40,712.16,29957.94,37997.74,2688.24
YR2003,3090.61,28301.86,4773.40,30711.10,21522.02,27577.57,763.39,37292.42,39490.30,4062.22
YR2004,3663.82,32145.54,6120.59,34566.74,24925.03,31348.19,962.48,42758.20,41724.64,5221.46
YR2005,4827.78,36383.66,7480.32,35084.44,26450.95,32062.72,1211.38,43378.62,44123.40,5836.88
YR2006,5934.14,40504.04,9318.66,36980.33,28421.69,33537.13,1599.54,46531.60,46301.99,6077.38
YR2007,7409.69,44660.08,10346.41,42350.92,32652.02,37826.18,1815.53,53568.56,48050.23,6591.86
YR2008,8908.33,46710.25,10683.22,46386.33,35603.25,40828.58,2154.11,55817.44,48570.06,6184.75
YR2009,8678.66,40874.88,10098.80,42487.21,32279.82,37099.61,1820.49,46707.87,47194.95,6374.71
YR2010,11403.28,47560.67,12632.87,42409.94,30658.74,35856.86,2202.26,52542.83,48642.63,7973.47
YR2011,13396.62,52223.86,14487.39,47646.58,31824.62,38432.37,2418.41,60379.77,50024.88,8646.06
YR2012,12521.72,52670.34,15241.91,44735.59,28456.44,34854.39,2633.20,57749.83,51708.39,8076.98
YR2013,12458.89,52638.12,15683.55,47220.01,29228.85,35701.67,2872.79,60844.28,53297.39,7331.65
YR2014,12274.99,50960.84,14529.68,48971.08,29707.77,36028.35,3088.72,59583.71,55153.39,6856.73
YR2015,8936.20,43594.19,13433.92,41911.01,25982.44,30639.88,2585.73,51197.95,56849.47,6112.27
YR2016,8836.29,42314.06,13649.85,42961.04,26755.61,31391.57,2070.41,51820.40,57976.63,5651.21
YR2017,10080.51,45129.63,14879.91,45526.60,28381.34,32844.12,1876.34,53300.86,60047.72,6618.34
YR2018,9300.66,46539.18,15659.48,48874.86,30602.42,34904.11,2057.88,54181.91,62875.67,6914.18
YR2019,9029.83,46352.87,14495.72,47623.87,29786.52,33812.79,2265.16,51773.05,65227.96,6533.71
YR2020,7074.19,43537.84,13114.82,47379.77,27233.94,32091.49,2019.66,52653.76,64401.51,5580.60
YR2021,7972.54,52886.66,16206.83,52265.65,30799.48,36852.54,2017.27,61174.97,71307.40,6843.40
YR2022,9281.33,56256.80,15405.62,49686.12,30270.27,35653.90,2139.37,55296.94,77860.91,6523.41
YR2023,10377.59,54220.33,17067.04,53940.41,33509.01,39065.42,1596.64,55567.09,82304.62,6022.54
YR2024,10280.31,54282.62,16709.89,55800.22,35297.01,40226.05,806.95,57723.23,85809.90,6253.37
