Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,,,,,,,,,,
YR1996,,,,,,,,,,
YR1997,,,,,,,,,,
YR1998,,,,,,,,,,
YR1999,,,,,,,,,,
YR2000,313.93,1988.16,353.25,2344.41,1005.28,1524.24,17.16,2173.19,4548.55,236.08
YR2001,271.56,2041.88,323.63,2346.67,1045.05,1586.67,17.96,2155.85,4901.68,202.81
YR2002,248.38,2134.85,319.53,2567.50,1174.58,1762.54,17.54,2459.10,5327.94,179.51
YR2003,253.09,2534.86,346.16,3152.79,1640.92,2163.03,37.91,3110.20,5732.24,286.02
YR2004,297.68,2896.19,422.96,3459.82,1922.27,2565.63,42.82,3488.17,6071.84,362.29
YR2005,387.93,3268.47,495.56,3558.21,2062.41,2677.55,52.24,3547.63,6428.60,400.54
YR2006,489.54,3755.60,565.85,3698.04,2242.16,2832.70,63.63,3765.40,6802.48,417.91
YR2007,607.73,4185.22,643.06,4182.92,2606.28,3092.58,66.91,4310.33,7153.73,455.17
YR2008,713.67,4451.32,719.08,4669.76,2995.19,3504.11,77.45,4627.56,7364.94,442.11
YR2009,728.56,4354.06,730.63,4674.92,2937.72,3337.75,65.72,4136.17,7614.82,487.63
YR2010,906.01,5062.48,861.72,4611.42,2789.64,3217.68,73.01,4416.15,7836.09,621.42
YR2011,1043.35,5401.62,984.45,5037.49,2908.92,3391.99,80.24,6351.22,8015.78,686.87
YR2012,968.73,5520.62,1070.51,4765.68,2590.74,3086.30,87.90,6254.44,8262.29,646.50
YR2013,993.80,5462.16,1171.77,5100.15,2630.02,3149.24,97.30,6696.87,8411.43,593.80
YR2014,1030.66,5212.01,1138.66,5309.15,2680.03,3154.28,102.40,6605.91,8796.18,539.31
YR2015,796.15,4660.80,1122.13,4627.28,2349.55,2675.67,92.91,5598.68,9200.86,491.91
YR2016,810.20,4649.12,1167.89,4746.78,2377.05,2699.73,75.52,5680.73,9536.21,456.57
YR2017,954.75,4899.25,1353.69,5065.43,2525.14,2809.72,70.32,5837.77,9822.38,527.52
YR2018,880.28,5062.38,1430.70,5507.68,2741.91,3002.76,63.60,6005.07,10182.26,558.80
YR2019,868.17,5103.84,1348.99,5488.54,2713.62,2910.65,67.63,5652.99,10546.01,538.80
YR2020,680.77,5649.17,1270.98,5932.20,2898.01,3062.10,67.91,6003.09,11672.77,503.47
YR2021,768.27,6483.38,1576.69,6638.21,3144.11,3399.86,81.87,6842.46,11999.09,592.53
YR2022,848.57,6255.03,1547.29,6182.34,2910.84,3134.68,90.92,5943.36,12434.43,569.84
YR2023,,6112.02,1714.89,6232.59,,3228.44,,6152.33,,
YR2024,,,,,,,,,,
