Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,47.70,6.90,13.10,6.50,6.90,7.50,203.80,4.80,9.50,59.50
YR1996,44.70,6.70,12.60,6.20,6.50,7.00,201.10,4.60,9.20,61.10
YR1997,41.90,6.50,12.20,5.90,6.10,6.60,197.40,4.40,8.90,62.90
YR1998,39.30,6.40,11.90,5.70,5.80,6.20,192.90,4.20,8.70,65.60
YR1999,36.80,6.30,11.50,5.50,5.60,5.90,187.80,4.10,8.60,68.50
YR2000,34.50,6.20,10.90,5.40,5.40,5.60,182.30,4.10,8.40,71.10
YR2001,32.20,6.20,10.30,5.20,5.30,5.30,176.80,4.00,8.30,74.30
YR2002,30.10,6.20,9.80,5.10,5.10,5.10,171.10,4.00,8.20,76.90
YR2003,28.10,6.20,9.50,5.00,5.00,4.80,165.40,3.90,8.10,79.30
YR2004,26.30,6.10,9.30,4.80,4.90,4.60,159.80,3.70,8.10,81.00
YR2005,24.60,6.10,9.10,4.70,4.70,4.50,154.50,3.60,8.00,80.30
YR2006,23.10,6.00,9.00,4.60,4.50,4.30,149.60,3.50,7.90,77.50
YR2007,21.70,6.00,8.90,4.50,4.40,4.20,145.20,3.30,7.70,71.90
YR2008,20.50,5.90,8.90,4.40,4.20,4.10,141.30,3.20,7.60,64.20
YR2009,19.50,5.80,8.80,4.30,4.00,4.10,138.00,3.10,7.50,57.00
YR2010,18.60,5.70,8.70,4.20,3.80,4.00,135.10,3.10,7.30,50.00
YR2011,17.90,5.60,8.60,4.10,3.70,3.90,132.90,3.00,7.20,45.00
YR2012,17.20,5.60,8.40,4.00,3.60,3.80,130.90,3.00,7.00,42.50
YR2013,16.70,5.50,8.20,4.00,3.50,3.70,129.30,2.90,6.90,41.00
YR2014,16.30,5.40,8.10,4.00,3.40,3.60,127.90,2.90,6.80,39.60
YR2015,16.00,5.40,7.90,3.90,3.30,3.50,126.40,2.90,6.80,38.20
YR2016,16.80,5.30,7.70,3.90,3.30,3.40,124.80,2.80,6.70,36.80
YR2017,15.40,5.20,7.50,3.80,3.20,3.30,122.80,2.80,6.60,35.80
YR2018,15.20,5.20,7.20,3.80,3.20,3.20,120.20,2.70,6.50,34.90
YR2019,15.00,5.10,7.00,3.70,3.20,3.10,117.50,2.60,6.50,34.50
YR2020,14.90,5.10,6.80,3.70,3.20,3.00,114.40,2.60,6.50,34.10
YR2021,14.70,5.10,6.70,3.70,3.10,2.90,111.30,2.50,6.50,34.10
YR2022,14.60,5.10,6.80,3.70,3.10,2.80,108.10,2.50,6.50,34.40
YR2023,14.40,5.10,7.20,3.70,3.10,2.80,104.90,2.50,6.50,34.70
YR2024,,,,,,,,,,
