Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,67.70,77.98,75.30,76.42,77.98,78.17,45.87,78.74,75.62,61.60
YR1996,68.11,78.22,75.56,76.67,78.12,78.52,45.83,78.96,76.03,61.08
YR1997,68.50,78.41,75.83,77.07,78.60,78.82,45.96,79.20,76.43,60.54
YR1998,68.85,78.62,76.32,77.48,78.67,78.98,46.15,79.34,76.58,59.91
YR1999,69.21,78.84,76.74,77.73,78.72,79.42,46.61,79.44,76.58,59.19
YR2000,69.58,79.17,77.13,77.93,78.97,79.78,47.14,79.64,76.64,58.37
YR2001,69.98,79.40,77.58,78.33,79.37,80.13,47.55,79.80,76.84,57.16
YR2002,70.40,79.53,77.84,78.23,79.57,80.23,48.02,79.85,76.94,55.58
YR2003,70.88,79.72,77.88,78.38,79.62,79.98,48.62,80.10,77.04,54.24
YR2004,71.36,79.99,78.28,78.68,79.87,80.78,49.15,80.50,77.49,53.96
YR2005,71.83,80.11,78.46,78.93,80.17,80.78,49.54,80.55,77.49,53.91
YR2006,72.30,80.54,78.53,79.13,80.82,81.28,49.88,80.75,77.69,54.22
YR2007,72.73,80.54,78.65,79.53,80.87,81.43,50.38,80.90,77.99,54.95
YR2008,73.11,80.72,78.75,79.74,81.18,81.49,50.75,81.10,78.04,55.98
YR2009,73.46,81.07,78.89,79.84,81.48,81.64,51.08,81.35,78.39,57.41
YR2010,73.78,81.32,79.09,79.99,81.63,82.04,51.31,81.45,78.54,58.89
YR2011,74.05,81.48,79.24,80.44,82.48,82.19,51.49,81.80,78.64,60.60
YR2012,74.33,81.66,79.22,80.54,82.43,82.24,51.69,81.70,78.74,61.74
YR2013,74.61,81.74,79.55,80.49,83.08,82.69,51.83,81.96,78.74,62.39
YR2014,74.82,81.78,79.71,81.09,83.23,83.09,51.94,82.25,78.84,63.18
YR2015,75.11,81.83,80.01,80.64,82.83,82.54,51.94,82.20,78.69,64.05
YR2016,75.08,81.94,80.30,80.99,83.33,83.24,52.19,82.31,78.54,64.75
YR2017,75.38,81.81,80.61,80.99,83.28,82.95,52.40,82.41,78.54,65.42
YR2018,75.63,81.81,80.56,80.89,83.43,83.35,52.67,82.56,78.64,65.73
YR2019,75.81,82.16,80.32,81.29,83.83,83.50,53.01,83.11,78.79,66.07
YR2020,74.51,81.54,79.35,81.04,82.23,82.20,53.07,82.36,76.98,65.15
YR2021,73.04,81.52,78.88,80.79,83.18,82.65,53.45,83.06,76.33,62.01
YR2022,74.87,81.25,79.18,80.61,83.13,82.70,54.08,83.06,77.43,65.45
YR2023,75.85,81.65,81.17,80.54,83.88,83.70,54.46,83.31,78.39,66.14
YR2024,,,,,,,,,,
