Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,1.54,1.03,1.46,0.29,0.44,0.00,2.64,0.52,1.19,1.21
YR1996,1.51,1.05,1.41,0.29,0.42,0.03,2.61,0.16,1.16,1.30
YR1997,1.49,0.99,1.34,0.15,0.42,0.05,2.60,0.06,1.20,1.20
YR1998,1.49,0.83,1.30,0.02,0.41,0.03,2.61,0.06,1.17,1.21
YR1999,1.46,0.81,1.26,0.06,0.41,0.02,2.64,0.08,1.15,1.09
YR2000,1.38,0.93,1.20,0.14,0.45,0.05,2.67,0.16,1.11,0.91
YR2001,1.30,1.09,1.16,0.17,0.69,0.06,2.72,0.27,0.99,0.86
YR2002,1.24,1.08,1.10,0.17,1.41,0.20,2.74,0.33,0.93,0.95
YR2003,1.18,0.90,1.05,0.06,1.81,0.54,2.76,0.37,0.86,1.00
YR2004,1.13,0.93,1.01,-0.02,1.73,0.74,2.77,0.39,0.93,1.01
YR2005,1.10,0.95,0.99,-0.06,1.69,0.58,2.77,0.40,0.92,1.01
YR2006,1.06,1.01,0.98,-0.11,1.69,0.40,2.76,0.56,0.96,1.02
YR2007,1.01,0.97,0.98,-0.13,1.85,0.61,2.77,0.74,0.95,1.06
YR2008,0.96,1.08,1.00,-0.19,1.60,0.77,2.78,0.78,0.95,1.15
YR2009,0.90,1.14,1.01,-0.25,0.89,0.58,2.79,0.85,0.88,1.19
YR2010,0.84,1.11,1.00,-0.15,0.46,0.44,2.80,0.85,0.85,1.18
YR2011,0.81,0.98,0.99,-1.85,0.36,0.35,2.80,0.76,0.79,1.24
YR2012,0.81,1.08,0.96,0.19,0.06,0.27,2.77,0.74,0.80,1.47
YR2013,0.81,1.05,0.95,0.27,-0.36,0.20,2.71,0.85,0.76,1.65
YR2014,0.81,1.00,1.00,0.42,-0.31,0.02,2.64,0.99,0.80,1.66
YR2015,0.79,0.76,1.02,0.87,-0.08,-0.15,2.54,1.06,0.80,2.01
YR2016,0.76,1.13,1.21,0.81,0.08,-0.19,2.47,1.26,0.79,0.94
YR2017,0.73,1.20,1.58,0.37,0.24,-0.19,2.43,1.35,0.69,0.65
YR2018,0.68,1.43,1.79,0.30,0.45,0.24,2.31,1.16,0.59,1.68
YR2019,0.65,1.46,1.60,0.23,0.72,-0.70,2.19,1.01,0.52,1.65
YR2020,0.58,1.08,0.90,0.08,0.51,-0.49,2.13,0.72,0.41,1.62
YR2021,0.43,0.55,0.44,0.04,0.18,-0.52,2.10,0.60,0.16,1.54
YR2022,0.36,1.80,0.50,0.72,0.72,-0.20,2.09,0.68,0.58,1.41
YR2023,0.40,2.90,0.54,0.12,1.17,-0.03,2.10,0.47,0.83,1.33
YR2024,0.41,2.96,0.54,-0.47,0.95,-0.01,2.08,0.31,0.98,1.25
