Year,BRA,CAN,CHL,DEU,ESP,ITA,NGA,SWE,USA,ZAF
YR1995,7.09,9.49,4.70,8.16,22.68,11.66,4.16,8.90,5.65,22.65
YR1996,8.04,9.62,7.41,8.82,22.14,11.86,4.06,9.55,5.45,22.48
YR1997,9.00,9.10,7.14,9.86,20.70,11.98,3.98,10.36,5.00,22.52
YR1998,10.15,8.28,7.31,9.79,18.67,12.12,3.94,8.94,4.51,22.67
YR1999,11.12,7.58,11.16,8.85,15.47,11.68,4.00,7.61,4.22,22.79
YR2000,10.89,6.83,10.49,7.92,13.79,10.83,3.96,5.47,3.99,22.71
YR2001,10.65,7.22,10.39,7.77,10.35,9.60,3.91,4.73,4.73,22.61
YR2002,10.64,7.67,10.17,8.48,11.15,9.21,3.68,4.96,5.78,22.55
YR2003,11.17,7.57,9.77,9.78,11.28,8.87,3.65,5.55,5.99,22.63
YR2004,10.07,7.18,10.16,10.73,11.09,7.87,3.60,6.69,5.53,22.54
YR2005,10.55,6.76,9.34,11.19,9.15,7.73,3.73,7.81,5.08,22.46
YR2006,9.69,6.48,9.02,10.28,8.45,6.78,3.76,7.07,4.62,22.32
YR2007,9.28,6.16,8.43,8.73,8.23,6.08,3.80,6.16,4.62,22.29
YR2008,8.27,6.28,9.29,7.51,11.25,6.72,3.79,6.24,5.78,22.41
YR2009,9.42,8.46,11.31,7.88,17.86,7.75,3.77,8.35,9.25,23.52
YR2010,8.42,8.18,8.28,7.04,19.86,8.36,3.75,8.61,9.63,24.68
YR2011,7.58,7.64,7.28,5.97,21.39,8.36,3.77,7.80,8.95,24.64
YR2012,7.25,7.39,6.56,5.37,24.79,10.65,3.76,7.98,8.07,24.73
YR2013,7.07,7.14,6.07,5.32,26.09,12.15,3.71,8.05,7.38,24.56
YR2014,6.75,7.02,6.48,4.98,24.44,12.68,3.90,7.95,6.17,24.89
YR2015,8.54,6.95,6.31,4.61,22.06,11.90,4.13,7.43,5.28,25.15
YR2016,11.58,7.04,6.67,4.10,19.64,11.69,4.50,6.99,4.87,26.54
YR2017,12.79,6.43,7.26,3.78,17.22,11.21,4.83,6.72,4.36,27.04
YR2018,12.33,5.84,7.62,3.38,15.26,10.61,5.07,6.37,3.90,26.91
YR2019,11.94,5.69,7.49,3.16,14.10,9.95,5.21,6.83,3.67,28.47
YR2020,13.70,9.66,10.93,3.88,15.53,9.16,5.74,8.29,8.05,29.22
YR2021,13.16,7.53,9.28,3.59,14.78,9.50,5.45,8.72,5.35,34.01
YR2022,9.23,5.28,8.25,3.12,12.92,8.07,3.82,7.39,3.65,33.27
YR2023,7.95,5.42,9.01,3.07,12.18,7.63,3.07,7.61,3.64,32.10
YR2024,7.63,6.45,9.06,3.41,11.39,6.78,2.99,8.53,4.11,33.17
